year,company,provider,e_score,s_score,g_score
2008,BAE Systems Plc,ISS ESG,0.53,0.41,0.54
2009,BAE Systems Plc,ISS ESG,0.54,0.57,0.42
2010,BAE Systems Plc,ISS ESG,0.44,0.57,0.44
2011,BAE Systems Plc,ISS ESG,0.53,0.37,0.46
2012,BAE Systems Plc,ISS ESG,0.57,0.49,0.45
2013,BAE Systems Plc,ISS ESG,0.38,0.46,0.37
2014,BAE Systems Plc,ISS ESG,0.48,0.42,0.46
2015,BAE Systems Plc,ISS ESG,0.41,0.4,0.42
2016,BAE Systems Plc,ISS ESG,0.52,0.41,0.42
2017,BAE Systems Plc,ISS ESG,0.53,0.47,0.41
2018,BAE Systems Plc,ISS ESG,0.55,0.54,0.38
2019,BAE Systems Plc,ISS ESG,0.43,0.42,0.49
2020,BAE Systems Plc,ISS ESG,0.38,0.5,0.55
2000,BAE Systems Plc,V.E,0.37,0.46,0.42
2001,BAE Systems Plc,V.E,0.42,0.52,0.41
2002,BAE Systems Plc,V.E,0.53,0.4,0.42
2003,BAE Systems Plc,V.E,0.51,0.43,0.4
2004,BAE Systems Plc,V.E,0.43,0.43,0.47
2005,BAE Systems Plc,V.E,0.39,0.5,0.45
2006,BAE Systems Plc,V.E,0.5,0.34,0.51
2007,BAE Systems Plc,V.E,0.39,0.51,0.45
2008,BAE Systems Plc,V.E,0.5,0.39,0.53
2009,BAE Systems Plc,V.E,0.35,0.35,0.37
2010,BAE Systems Plc,V.E,0.51,0.36,0.49
2011,BAE Systems Plc,V.E,0.49,0.5,0.54
2012,BAE Systems Plc,V.E,0.38,0.51,0.45
2013,BAE Systems Plc,V.E,0.52,0.39,0.52
2014,BAE Systems Plc,V.E,0.47,0.36,0.51
2015,BAE Systems Plc,V.E,0.42,0.34,0.5
2016,BAE Systems Plc,V.E,0.45,0.52,0.54
2017,BAE Systems Plc,V.E,0.39,0.54,0.49
2018,BAE Systems Plc,V.E,0.45,0.5,0.38
2019,BAE Systems Plc,V.E,0.46,0.41,0.54
2020,BAE Systems Plc,V.E,0.4,0.5,0.34
2000,BAE Systems Plc,Refinitiv,0.34,0.21,0.23
2001,BAE Systems Plc,Refinitiv,0.23,0.39,0.34
2002,BAE Systems Plc,Refinitiv,0.24,0.3,0.32
2003,BAE Systems Plc,Refinitiv,0.35,0.38,0.3
2004,BAE Systems Plc,Refinitiv,0.25,0.24,0.26
2005,BAE Systems Plc,Refinitiv,0.31,0.33,0.24
2006,BAE Systems Plc,Refinitiv,0.38,0.39,0.32
2007,BAE Systems Plc,Refinitiv,0.19,0.36,0.25
2008,BAE Systems Plc,Refinitiv,0.29,0.39,0.29
2009,BAE Systems Plc,Refinitiv,0.21,0.32,0.28
2010,BAE Systems Plc,Refinitiv,0.31,0.22,0.36
2011,BAE Systems Plc,Refinitiv,0.35,0.31,0.38
2012,BAE Systems Plc,Refinitiv,0.33,0.35,0.39
2013,BAE Systems Plc,Refinitiv,0.23,0.19,0.22
2014,BAE Systems Plc,Refinitiv,0.22,0.38,0.3
2015,BAE Systems Plc,Refinitiv,0.29,0.38,0.22
2016,BAE Systems Plc,Refinitiv,0.2,0.27,0.26
2017,BAE Systems Plc,Refinitiv,0.33,0.36,0.33
2018,BAE Systems Plc,Refinitiv,0.19,0.34,0.21
2019,BAE Systems Plc,Refinitiv,0.25,0.19,0.35
2020,BAE Systems Plc,Refinitiv,0.21,0.26,0.35
2000,BAE Systems Plc,CDP,0.37,0.5,0.46
2001,BAE Systems Plc,CDP,0.32,0.46,0.39
2002,BAE Systems Plc,CDP,0.32,0.48,0.44
2003,BAE Systems Plc,CDP,0.39,0.47,0.35
2004,BAE Systems Plc,CDP,0.48,0.4,0.5
2005,BAE Systems Plc,CDP,0.41,0.37,0.39
2006,BAE Systems Plc,CDP,0.47,0.45,0.47
2007,BAE Systems Plc,CDP,0.45,0.34,0.34
2008,BAE Systems Plc,CDP,0.3,0.3,0.47
2009,BAE Systems Plc,CDP,0.31,0.43,0.33
2010,BAE Systems Plc,CDP,0.37,0.33,0.45
2011,BAE Systems Plc,CDP,0.5,0.31,0.42
2012,BAE Systems Plc,CDP,0.45,0.3,0.36
2013,BAE Systems Plc,CDP,0.35,0.4,0.3
2014,BAE Systems Plc,CDP,0.46,0.37,0.45
2015,BAE Systems Plc,CDP,0.3,0.41,0.48
2016,BAE Systems Plc,CDP,0.31,0.48,0.49
2017,BAE Systems Plc,CDP,0.42,0.39,0.33
2018,BAE Systems Plc,CDP,0.48,0.47,0.45
2019,BAE Systems Plc,CDP,0.5,0.5,0.38
2020,BAE Systems Plc,CDP,0.4,0.35,0.49
2000,BAE Systems Plc,Arabesque,0.31,0.34,0.24
2001,BAE Systems Plc,Arabesque,0.27,0.22,0.2
2002,BAE Systems Plc,Arabesque,0.37,0.39,0.35
2003,BAE Systems Plc,Arabesque,0.36,0.29,0.22
2004,BAE Systems Plc,Arabesque,0.39,0.34,0.2
2005,BAE Systems Plc,Arabesque,0.37,0.39,0.34
2006,BAE Systems Plc,Arabesque,0.2,0.26,0.24
2007,BAE Systems Plc,Arabesque,0.37,0.22,0.3
2008,BAE Systems Plc,Arabesque,0.3,0.24,0.31
2009,BAE Systems Plc,Arabesque,0.38,0.22,0.2
2010,BAE Systems Plc,Arabesque,0.22,0.3,0.28
2011,BAE Systems Plc,Arabesque,0.3,0.32,0.22
2012,BAE Systems Plc,Arabesque,0.24,0.3,0.22
2013,BAE Systems Plc,Arabesque,0.26,0.3,0.36
2014,BAE Systems Plc,Arabesque,0.24,0.37,0.34
2015,BAE Systems Plc,Arabesque,0.38,0.31,0.3
2016,BAE Systems Plc,Arabesque,0.31,0.21,0.24
2017,BAE Systems Plc,Arabesque,0.24,0.28,0.34
2018,BAE Systems Plc,Arabesque,0.35,0.27,0.3
2019,BAE Systems Plc,Arabesque,0.39,0.28,0.37
2020,BAE Systems Plc,Arabesque,0.25,0.3,0.28
2000,Thales SA,Provider,0.51,0.53,0.5
2001,Thales SA,Provider,0.44,0.62,0.57
2002,Thales SA,Provider,0.55,0.55,0.6
2003,Thales SA,Provider,0.56,0.53,0.55
2004,Thales SA,Provider,0.46,0.6,0.43
2005,Thales SA,Provider,0.6,0.42,0.42
2006,Thales SA,Provider,0.47,0.59,0.46
2007,Thales SA,Provider,0.59,0.47,0.53
2008,Thales SA,Provider,0.51,0.43,0.42
2009,Thales SA,Provider,0.57,0.42,0.5
2010,Thales SA,Provider,0.45,0.47,0.6
2011,Thales SA,Provider,0.54,0.57,0.5
2012,Thales SA,Provider,0.56,0.54,0.48
2013,Thales SA,Provider,0.42,0.43,0.56
2014,Thales SA,Provider,0.43,0.55,0.46
2015,Thales SA,Provider,0.52,0.5,0.42
2016,Thales SA,Provider,0.42,0.47,0.48
2017,Thales SA,Provider,0.45,0.46,0.57
2018,Thales SA,Provider,0.57,0.57,0.49
2019,Thales SA,Provider,0.56,0.6,0.48
2020,Thales SA,Provider,0.53,0.43,0.57
2000,Thales SA,MSCI,0.6,0.57,0.64
2001,Thales SA,MSCI,0.68,0.68,0.65
2002,Thales SA,MSCI,0.54,0.58,0.67
2003,Thales SA,MSCI,0.55,0.61,0.59
2004,Thales SA,MSCI,0.61,0.67,0.54
2005,Thales SA,MSCI,0.59,0.5,0.69
2006,Thales SA,MSCI,0.55,0.68,0.51
2007,Thales SA,MSCI,0.51,0.5,0.61
2008,Thales SA,MSCI,0.54,0.67,0.53
2009,Thales SA,MSCI,0.54,0.52,0.69
2010,Thales SA,MSCI,0.63,0.57,0.61
2011,Thales SA,MSCI,0.62,0.54,0.65
2012,Thales SA,MSCI,0.51,0.52,0.5
2013,Thales SA,MSCI,0.59,0.54,0.58
2014,Thales SA,MSCI,0.55,0.58,0.57
2015,Thales SA,MSCI,0.62,0.68,0.55
2016,Thales SA,MSCI,0.57,0.5,0.6
2017,Thales SA,MSCI,0.51,0.58,0.59
2018,Thales SA,MSCI,0.6,0.7,0.64
2019,Thales SA,MSCI,0.5,0.5,0.66
2020,Thales SA,MSCI,0.66,0.61,0.69
2000,Thales SA,Sustainalytics,0.57,0.47,0.57
2001,Thales SA,Sustainalytics,0.62,0.43,0.49
2002,Thales SA,Sustainalytics,0.6,0.48,0.45
2003,Thales SA,Sustainalytics,0.62,0.52,0.45
2004,Thales SA,Sustainalytics,0.62,0.6,0.56
2005,Thales SA,Sustainalytics,0.53,0.52,0.47
2006,Thales SA,Sustainalytics,0.45,0.46,0.47
2007,Thales SA,Sustainalytics,0.54,0.52,0.47
2008,Thales SA,Sustainalytics,0.57,0.55,0.47
2009,Thales SA,Sustainalytics,0.61,0.47,0.47
2010,Thales SA,Sustainalytics,0.47,0.53,0.46
2011,Thales SA,Sustainalytics,0.61,0.57,0.52
2012,Thales SA,Sustainalytics,0.48,0.47,0.56
2013,Thales SA,Sustainalytics,0.57,0.44,0.5
2014,Thales SA,Sustainalytics,0.55,0.56,0.45
2015,Thales SA,Sustainalytics,0.47,0.56,0.5
2016,Thales SA,Sustainalytics,0.57,0.53,0.46
2017,Thales SA,Sustainalytics,0.46,0.47,0.44
2018,Thales SA,Sustainalytics,0.61,0.53,0.55
2019,Thales SA,Sustainalytics,0.58,0.45,0.55
2020,Thales SA,Sustainalytics,0.44,0.53,0.62
2000,Thales SA,Bloomberg,0.6,0.64,0.56
2001,Thales SA,Bloomberg,0.66,0.71,0.67
2002,Thales SA,Bloomberg,0.7,0.64,0.74
2003,Thales SA,Bloomberg,0.56,0.64,0.67
2004,Thales SA,Bloomberg,0.62,0.57,0.65
2005,Thales SA,Bloomberg,0.66,0.57,0.6
2006,Thales SA,Bloomberg,0.76,0.58,0.75
2007,Thales SA,Bloomberg,0.68,0.63,0.66
2008,Thales SA,Bloomberg,0.75,0.59,0.58
2009,Thales SA,Bloomberg,0.66,0.75,0.65
2010,Thales SA,Bloomberg,0.67,0.76,0.63
2011,Thales SA,Bloomberg,0.72,0.71,0.61
2012,Thales SA,Bloomberg,0.59,0.75,0.63
2013,Thales SA,Bloomberg,0.68,0.63,0.74
2014,Thales SA,Bloomberg,0.62,0.75,0.57
2015,Thales SA,Bloomberg,0.62,0.7,0.68
2016,Thales SA,Bloomberg,0.71,0.66,0.68
2017,Thales SA,Bloomberg,0.67,0.75,0.64
2018,Thales SA,Bloomberg,0.64,0.56,0.7
2019,Thales SA,Bloomberg,0.62,0.71,0.63
2020,Thales SA,Bloomberg,0.74,0.71,0.57
2000,Thales SA,ISS ESG,0.59,0.58,0.61
2001,Thales SA,ISS ESG,0.6,0.66,0.59
2002,Thales SA,ISS ESG,0.63,0.6,0.52
2003,Thales SA,ISS ESG,0.51,0.52,0.67
2004,Thales SA,ISS ESG,0.7,0.62,0.56
2005,Thales SA,ISS ESG,0.67,0.69,0.54
2006,Thales SA,ISS ESG,0.66,0.61,0.57
2007,Thales SA,ISS ESG,0.56,0.5,0.5
2008,Thales SA,ISS ESG,0.61,0.59,0.63
2009,Thales SA,ISS ESG,0.55,0.66,0.68
2010,Thales SA,ISS ESG,0.5,0.57,0.54
2011,Thales SA,ISS ESG,0.58,0.61,0.5
2012,Thales SA,ISS ESG,0.56,0.51,0.58
2013,Thales SA,ISS ESG,0.69,0.54,0.53
2014,Thales SA,ISS ESG,0.67,0.51,0.54
2015,Thales SA,ISS ESG,0.67,0.5,0.59
2016,Thales SA,ISS ESG,0.5,0.53,0.59
2017,Thales SA,ISS ESG,0.52,0.67,0.5
2018,Thales SA,ISS ESG,0.64,0.69,0.66
2019,Thales SA,ISS ESG,0.64,0.64,0.69
2020,Thales SA,ISS ESG,0.62,0.58,0.6
2000,Thales SA,V.E,0.72,0.62,0.71
2001,Thales SA,V.E,0.53,0.54,0.53
2002,Thales SA,V.E,0.65,0.71,0.61
2003,Thales SA,V.E,0.67,0.7,0.56
2004,Thales SA,V.E,0.68,0.64,0.54
2005,Thales SA,V.E,0.72,0.65,0.68
2006,Thales SA,V.E,0.54,0.62,0.54
2007,Thales SA,V.E,0.64,0.6,0.6
2008,Thales SA,V.E,0.68,0.7,0.7
2009,Thales SA,V.E,0.65,0.73,0.71
2010,Thales SA,V.E,0.54,0.71,0.6
2011,Thales SA,V.E,0.62,0.66,0.65
2012,Thales SA,V.E,0.63,0.64,0.64
2013,Thales SA,V.E,0.53,0.6,0.56
2014,Thales SA,V.E,0.71,0.72,0.55
2015,Thales SA,V.E,0.66,0.59,0.72
2016,Thales SA,V.E,0.64,0.56,0.67
2017,Thales SA,V.E,0.63,0.61,0.6
2018,Thales SA,V.E,0.62,0.62,0.59
2019,Thales SA,V.E,0.71,0.61,0.65
2020,Thales SA,V.E,0.55,0.71,0.53
2000,Thales SA,Refinitiv,0.69,0.49,0.66
2001,Thales SA,Refinitiv,0.55,0.6,0.69
2002,Thales SA,Refinitiv,0.49,0.58,0.67
2003,Thales SA,Refinitiv,0.62,0.65,0.61
2004,Thales SA,Refinitiv,0.56,0.56,0.59
2005,Thales SA,Refinitiv,0.59,0.6,0.58
2006,Thales SA,Refinitiv,0.68,0.56,0.63
2007,Thales SA,Refinitiv,0.56,0.59,0.6
2008,Thales SA,Refinitiv,0.54,0.62,0.49
2009,Thales SA,Refinitiv,0.64,0.58,0.58
2010,Thales SA,Refinitiv,0.5,0.57,0.61
2011,Thales SA,Refinitiv,0.51,0.61,0.6
2012,Thales SA,Refinitiv,0.64,0.5,0.5
2013,Thales SA,Refinitiv,0.61,0.64,0.68
2014,Thales SA,Refinitiv,0.67,0.62,0.67
2015,Thales SA,Refinitiv,0.62,0.65,0.55
2016,Thales SA,Refinitiv,0.6,0.53,0.61
2017,Thales SA,Refinitiv,0.53,0.63,0.53
2018,Thales SA,Refinitiv,0.51,0.56,0.54
2019,Thales SA,Refinitiv,0.67,0.67,0.62
2020,Thales SA,Refinitiv,0.61,0.62,0.63
2000,Thales SA,CDP,0.45,0.61,0.58
2001,Thales SA,CDP,0.52,0.52,0.58
2002,Thales SA,CDP,0.6,0.59,0.58
2003,Thales SA,CDP,0.46,0.44,0.57
2004,Thales SA,CDP,0.5,0.51,0.6
2005,Thales SA,CDP,0.47,0.47,0.42
2006,Thales SA,CDP,0.6,0.48,0.57
2007,Thales SA,CDP,0.56,0.6,0.58
2008,Thales SA,CDP,0.53,0.43,0.49
2009,Thales SA,CDP,0.58,0.53,0.41
2010,Thales SA,CDP,0.48,0.52,0.58
2011,Thales SA,CDP,0.53,0.59,0.6
2012,Thales SA,CDP,0.55,0.53,0.5
2013,Thales SA,CDP,0.49,0.49,0.53
2014,Thales SA,CDP,0.51,0.46,0.48
2015,Thales SA,CDP,0.43,0.47,0.49
2016,Thales SA,CDP,0.54,0.44,0.44
2017,Thales SA,CDP,0.6,0.42,0.47
2018,Thales SA,CDP,0.57,0.49,0.45
2019,Thales SA,CDP,0.59,0.61,0.51
2020,Thales SA,CDP,0.5,0.41,0.48
2000,Thales SA,Arabesque,0.58,0.52,0.47
2001,Thales SA,Arabesque,0.6,0.46,0.5
2002,Thales SA,Arabesque,0.44,0.55,0.56
2003,Thales SA,Arabesque,0.58,0.46,0.44
2004,Thales SA,Arabesque,0.51,0.44,0.57
2005,Thales SA,Arabesque,0.44,0.56,0.45
2006,Thales SA,Arabesque,0.61,0.46,0.53
2007,Thales SA,Arabesque,0.49,0.47,0.57
2008,Thales SA,Arabesque,0.48,0.6,0.58
2009,Thales SA,Arabesque,0.53,0.45,0.62
2010,Thales SA,Arabesque,0.55,0.62,0.46
2011,Thales SA,Arabesque,0.42,0.58,0.55
2012,Thales SA,Arabesque,0.53,0.47,0.56
2013,Thales SA,Arabesque,0.47,0.55,0.46
2014,Thales SA,Arabesque,0.58,0.51,0.54
2015,Thales SA,Arabesque,0.53,0.53,0.56
2016,Thales SA,Arabesque,0.43,0.52,0.54
2017,Thales SA,Arabesque,0.43,0.47,0.47
2018,Thales SA,Arabesque,0.49,0.5,0.42
2019,Thales SA,Arabesque,0.47,0.49,0.51
2020,Thales SA,Arabesque,0.54,0.56,0.5
2000,Safran SA,Provider,0.71,0.86,0.89
2001,Safran SA,Provider,0.73,0.86,0.9
2002,Safran SA,Provider,0.82,0.88,0.73
2003,Safran SA,Provider,0.79,0.71,0.74
2004,Safran SA,Provider,0.73,0.9,0.85
2005,Safran SA,Provider,0.73,0.89,0.78
2006,Safran SA,Provider,0.73,0.86,0.7
2007,Safran SA,Provider,0.81,0.81,0.76
2008,Safran SA,Provider,0.87,0.85,0.73
2009,Safran SA,Provider,0.74,0.72,0.9
2010,Safran SA,Provider,0.74,0.82,0.83
2011,Safran SA,Provider,0.85,0.85,0.74
2012,Safran SA,Provider,0.74,0.72,0.7
2013,Safran SA,Provider,0.8,0.89,0.89
2014,Safran SA,Provider,0.87,0.89,0.74
2015,Safran SA,Provider,0.83,0.81,0.77
2016,Safran SA,Provider,0.78,0.7,0.81
2017,Safran SA,Provider,0.72,0.71,0.74
2018,Safran SA,Provider,0.87,0.73,0.78
2019,Safran SA,Provider,0.7,0.85,0.85
2020,Safran SA,Provider,0.86,0.9,0.78
2000,Safran SA,MSCI,0.72,0.81,0.73
2001,Safran SA,MSCI,0.75,0.72,0.78
2002,Safran SA,MSCI,0.8,0.82,0.8
2003,Safran SA,MSCI,0.79,0.66,0.68
2004,Safran SA,MSCI,0.83,0.68,0.79
2005,Safran SA,MSCI,0.76,0.68,0.78
2006,Safran SA,MSCI,0.73,0.73,0.69
2007,Safran SA,MSCI,0.71,0.71,0.77
2008,Safran SA,MSCI,0.7,0.71,0.8
2009,Safran SA,MSCI,0.74,0.64,0.83
2010,Safran SA,MSCI,0.76,0.79,0.68
2011,Safran SA,MSCI,0.65,0.69,0.76
2012,Safran SA,MSCI,0.7,0.64,0.72
2013,Safran SA,MSCI,0.66,0.64,0.82
2014,Safran SA,MSCI,0.76,0.71,0.67
2015,Safran SA,MSCI,0.63,0.78,0.74
2016,Safran SA,MSCI,0.66,0.75,0.83
2017,Safran SA,MSCI,0.83,0.75,0.74
2018,Safran SA,MSCI,0.81,0.82,0.82
2019,Safran SA,MSCI,0.73,0.67,0.68
2020,Safran SA,MSCI,0.64,0.78,0.72
2000,Safran SA,Sustainalytics,0.65,0.65,0.66
2001,Safran SA,Sustainalytics,0.81,0.81,0.8
2002,Safran SA,Sustainalytics,0.81,0.73,0.65
2003,Safran SA,Sustainalytics,0.69,0.79,0.77
2004,Safran SA,Sustainalytics,0.83,0.77,0.77
2005,Safran SA,Sustainalytics,0.7,0.82,0.76
2006,Safran SA,Sustainalytics,0.74,0.71,0.7
2007,Safran SA,Sustainalytics,0.82,0.7,0.82
2008,Safran SA,Sustainalytics,0.81,0.79,0.75
2009,Safran SA,Sustainalytics,0.81,0.81,0.83
2010,Safran SA,Sustainalytics,0.79,0.7,0.65
2011,Safran SA,Sustainalytics,0.82,0.66,0.79
2012,Safran SA,Sustainalytics,0.79,0.69,0.77
2013,Safran SA,Sustainalytics,0.7,0.82,0.75
2014,Safran SA,Sustainalytics,0.81,0.8,0.85
2015,Safran SA,Sustainalytics,0.7,0.66,0.81
2016,Safran SA,Sustainalytics,0.81,0.67,0.8
2017,Safran SA,Sustainalytics,0.71,0.7,0.82
2018,Safran SA,Sustainalytics,0.85,0.79,0.74
2019,Safran SA,Sustainalytics,0.75,0.74,0.84
2020,Safran SA,Sustainalytics,0.65,0.82,0.75
2000,Safran SA,Bloomberg,0.75,0.63,0.76
2001,Safran SA,Bloomberg,0.71,0.63,0.62
2002,Safran SA,Bloomberg,0.75,0.68,0.73
2003,Safran SA,Bloomberg,0.71,0.76,0.78
2004,Safran SA,Bloomberg,0.67,0.76,0.78
2005,Safran SA,Bloomberg,0.7,0.8,0.73
2006,Safran SA,Bloomberg,0.61,0.8,0.71
2007,Safran SA,Bloomberg,0.76,0.63,0.7
2008,Safran SA,Bloomberg,0.78,0.73,0.74
2009,Safran SA,Bloomberg,0.75,0.79,0.64
2010,Safran SA,Bloomberg,0.67,0.63,0.8
2011,Safran SA,Bloomberg,0.71,0.72,0.7
2012,Safran SA,Bloomberg,0.81,0.78,0.67
2013,Safran SA,Bloomberg,0.67,0.78,0.71
2014,Safran SA,Bloomberg,0.69,0.81,0.79
2015,Safran SA,Bloomberg,0.69,0.64,0.61
2016,Safran SA,Bloomberg,0.73,0.74,0.62
2017,Safran SA,Bloomberg,0.66,0.74,0.66
2018,Safran SA,Bloomberg,0.63,0.64,0.68
2019,Safran SA,Bloomberg,0.73,0.7,0.78
2020,Safran SA,Bloomberg,0.76,0.71,0.76
2000,Safran SA,ISS ESG,0.68,0.75,0.72
2001,Safran SA,ISS ESG,0.72,0.67,0.8
2002,Safran SA,ISS ESG,0.81,0.7,0.68
2003,Safran SA,ISS ESG,0.83,0.68,0.74
2004,Safran SA,ISS ESG,0.78,0.65,0.8
2005,Safran SA,ISS ESG,0.76,0.83,0.77
2006,Safran SA,ISS ESG,0.65,0.72,0.64
2007,Safran SA,ISS ESG,0.83,0.84,0.72
2008,Safran SA,ISS ESG,0.71,0.66,0.7
2009,Safran SA,ISS ESG,0.82,0.7,0.65
2010,Safran SA,ISS ESG,0.84,0.74,0.67
2011,Safran SA,ISS ESG,0.78,0.68,0.68
2012,Safran SA,ISS ESG,0.77,0.81,0.71
2013,Safran SA,ISS ESG,0.69,0.64,0.8
2014,Safran SA,ISS ESG,0.82,0.79,0.79
2015,Safran SA,ISS ESG,0.73,0.81,0.81
2016,Safran SA,ISS ESG,0.8,0.75,0.72
2017,Safran SA,ISS ESG,0.74,0.67,0.84
2018,Safran SA,ISS ESG,0.84,0.72,0.66
2019,Safran SA,ISS ESG,0.67,0.7,0.83
2020,Safran SA,ISS ESG,0.84,0.8,0.76
2000,Safran SA,V.E,0.63,0.66,0.65
2001,Safran SA,V.E,0.75,0.69,0.58
2002,Safran SA,V.E,0.7,0.74,0.76
2003,Safran SA,V.E,0.67,0.76,0.72
2004,Safran SA,V.E,0.69,0.72,0.7
2005,Safran SA,V.E,0.72,0.66,0.76
2006,Safran SA,V.E,0.66,0.73,0.62
2007,Safran SA,V.E,0.69,0.58,0.56
2008,Safran SA,V.E,0.69,0.7,0.63
2009,Safran SA,V.E,0.72,0.74,0.75
2010,Safran SA,V.E,0.73,0.61,0.7
2011,Safran SA,V.E,0.74,0.58,0.74
2012,Safran SA,V.E,0.67,0.71,0.72
2013,Safran SA,V.E,0.56,0.57,0.72
2014,Safran SA,V.E,0.7,0.64,0.76
2015,Safran SA,V.E,0.64,0.68,0.57
2016,Safran SA,V.E,0.61,0.74,0.63
2017,Safran SA,V.E,0.69,0.61,0.57
2018,Safran SA,V.E,0.62,0.57,0.65
2019,Safran SA,V.E,0.65,0.69,0.56
2020,Safran SA,V.E,0.62,0.7,0.76
2000,Safran SA,Refinitiv,0.73,0.67,0.73
2001,Safran SA,Refinitiv,0.69,0.79,0.72
2002,Safran SA,Refinitiv,0.66,0.65,0.73
2003,Safran SA,Refinitiv,0.72,0.7,0.61
2004,Safran SA,Refinitiv,0.68,0.69,0.76
2005,Safran SA,Refinitiv,0.69,0.61,0.67
2006,Safran SA,Refinitiv,0.72,0.69,0.72
2007,Safran SA,Refinitiv,0.61,0.79,0.6
2008,Safran SA,Refinitiv,0.76,0.75,0.75
2009,Safran SA,Refinitiv,0.7,0.7,0.76
2010,Safran SA,Refinitiv,0.66,0.76,0.77
2011,Safran SA,Refinitiv,0.77,0.76,0.74
2012,Safran SA,Refinitiv,0.67,0.66,0.8
2013,Safran SA,Refinitiv,0.71,0.63,0.71
2014,Safran SA,Refinitiv,0.69,0.75,0.61
2015,Safran SA,Refinitiv,0.77,0.73,0.6
2016,Safran SA,Refinitiv,0.77,0.69,0.8
2017,Safran SA,Refinitiv,0.68,0.64,0.62
2018,Safran SA,Refinitiv,0.6,0.65,0.64
2019,Safran SA,Refinitiv,0.77,0.8,0.62
2020,Safran SA,Refinitiv,0.65,0.65,0.8
2000,Safran SA,CDP,0.63,0.63,0.7
2001,Safran SA,CDP,0.73,0.66,0.73
2002,Safran SA,CDP,0.77,0.75,0.78
2003,Safran SA,CDP,0.74,0.65,0.73
2004,Safran SA,CDP,0.76,0.77,0.65
2005,Safran SA,CDP,0.65,0.67,0.71
2006,Safran SA,CDP,0.78,0.66,0.69
2007,Safran SA,CDP,0.73,0.64,0.67
2008,Safran SA,CDP,0.62,0.7,0.65
2009,Safran SA,CDP,0.77,0.66,0.64
2010,Safran SA,CDP,0.66,0.62,0.75
2011,Safran SA,CDP,0.61,0.62,0.63
2012,Safran SA,CDP,0.8,0.65,0.73
2013,Safran SA,CDP,0.71,0.78,0.62
2014,Safran SA,CDP,0.77,0.61,0.64
2015,Safran SA,CDP,0.78,0.69,0.8
2016,Safran SA,CDP,0.64,0.73,0.81
2017,Safran SA,CDP,0.61,0.64,0.65
2018,Safran SA,CDP,0.79,0.75,0.66
2019,Safran SA,CDP,0.73,0.76,0.8
2020,Safran SA,CDP,0.78,0.7,0.64
2000,Safran SA,Arabesque,0.74,0.59,0.58
2001,Safran SA,Arabesque,0.75,0.65,0.57
2002,Safran SA,Arabesque,0.66,0.67,0.73
2003,Safran SA,Arabesque,0.59,0.69,0.77
2004,Safran SA,Arabesque,0.69,0.75,0.73
2005,Safran SA,Arabesque,0.61,0.62,0.69
2006,Safran SA,Arabesque,0.57,0.77,0.67
2007,Safran SA,Arabesque,0.77,0.65,0.63
2008,Safran SA,Arabesque,0.63,0.57,0.61
2009,Safran SA,Arabesque,0.68,0.57,0.7
2010,Safran SA,Arabesque,0.64,0.63,0.69
2011,Safran SA,Arabesque,0.75,0.59,0.69
2012,Safran SA,Arabesque,0.61,0.7,0.76
2013,Safran SA,Arabesque,0.67,0.76,0.62
2014,Safran SA,Arabesque,0.59,0.64,0.75
2015,Safran SA,Arabesque,0.63,0.71,0.7
2016,Safran SA,Arabesque,0.74,0.75,0.68
2017,Safran SA,Arabesque,0.75,0.72,0.65
2018,Safran SA,Arabesque,0.6,0.69,0.64
2019,Safran SA,Arabesque,0.57,0.66,0.69
2020,Safran SA,Arabesque,0.61,0.76,0.69
2000,Volkswagen AG,Provider,0.47,0.47,0.6
2001,Volkswagen AG,Provider,0.58,0.55,0.54
2002,Volkswagen AG,Provider,0.45,0.47,0.59
2003,Volkswagen AG,Provider,0.52,0.46,0.6
2004,Volkswagen AG,Provider,0.59,0.49,0.52
2005,Volkswagen AG,Provider,0.54,0.55,0.51
2006,Volkswagen AG,Provider,0.59,0.54,0.51
2007,Volkswagen AG,Provider,0.41,0.54,0.56
2008,Volkswagen AG,Provider,0.43,0.56,0.52
2009,Volkswagen AG,Provider,0.54,0.44,0.59
2010,Volkswagen AG,Provider,0.6,0.48,0.54
2011,Volkswagen AG,Provider,0.44,0.53,0.54
2012,Volkswagen AG,Provider,0.51,0.5,0.53
2013,Volkswagen AG,Provider,0.51,0.55,0.42
2014,Volkswagen AG,Provider,0.4,0.53,0.47
2015,Volkswagen AG,Provider,0.42,0.59,0.44
2016,Volkswagen AG,Provider,0.53,0.48,0.48
2017,Volkswagen AG,Provider,0.54,0.6,0.5
2018,Volkswagen AG,Provider,0.49,0.59,0.42
2019,Volkswagen AG,Provider,0.43,0.46,0.56
2020,Volkswagen AG,Provider,0.43,0.46,0.58
2000,Volkswagen AG,MSCI,0.47,0.38,0.34
2001,Volkswagen AG,MSCI,0.43,0.37,0.45
2002,Volkswagen AG,MSCI,0.35,0.5,0.38
2003,Volkswagen AG,MSCI,0.41,0.42,0.48
2004,Volkswagen AG,MSCI,0.54,0.41,0.39
2005,Volkswagen AG,MSCI,0.34,0.39,0.47
2006,Volkswagen AG,MSCI,0.49,0.53,0.46
2007,Volkswagen AG,MSCI,0.34,0.54,0.52
2008,Volkswagen AG,MSCI,0.46,0.41,0.54
2009,Volkswagen AG,MSCI,0.44,0.5,0.37
